"","lsoa11cd","cqclocationid"
"1","E01006921","1-10325545051"
"2","E01006921","1-10551577036"
"3","E01006921","1-10646883009"
"4","E01006921","1-10750880847"
"5","E01006921","1-10755320885"
"6","E01006921","1-10757168826"
"7","E01006921","1-10757228535"
"8","E01006921","1-10757646514"
"9","E01006921","1-10757646540"
"10","E01006921","1-10757677224"
"11","E01006921","1-10758838006"
"12","E01006921","1-10758838098"
"13","E01006921","1-10758950145"
"14","E01006921","1-10758956076"
"15","E01006921","1-10758956126"
"16","E01006921","1-10758956172"
"17","E01006921","1-108795935"
"18","E01006921","1-110316571"
"19","E01006921","1-110949612"
"20","E01006921","1-111186087"
"21","E01006921","1-111374724"
"22","E01006921","1-111537320"
"23","E01006921","1-11224143405"
"24","E01006921","1-112247212"
"25","E01006921","1-112507840"
"26","E01006921","1-112822510"
"27","E01007077","1-10325545051"
"28","E01007077","1-10551577036"
"29","E01007077","1-10646883009"
"30","E01007077","1-10750880847"
"31","E01007077","1-10755320885"
"32","E01007077","1-10757168826"
"33","E01007077","1-10757228535"
"34","E01007077","1-10757646514"
"35","E01007077","1-10757646540"
"36","E01007077","1-10757677224"
"37","E01007077","1-10758359273"
"38","E01007077","1-10758359704"
"39","E01007077","1-10758838006"
"40","E01007077","1-10758838098"
"41","E01007077","1-10758950145"
"42","E01007077","1-10758956076"
"43","E01007077","1-10758956126"
"44","E01007077","1-10758956172"
"45","E01007077","1-10803102915"
"46","E01007077","1-108795935"
"47","E01007077","1-109777459"
"48","E01007077","1-11019355215"
"49","E01007077","1-110316571"
"50","E01007077","1-110949612"
"51","E01007077","1-111186087"
"52","E01007077","1-111374724"
"53","E01007077","1-111537320"
"54","E01007077","1-11224143405"
"55","E01007077","1-11224143598"
"56","E01007077","1-112247212"
"57","E01007077","1-112507840"
"58","E01007077","1-11263733556"
"59","E01007077","1-112822510"
"60","E01007077","1-113844775"
"61","E01006945","1-10551577036"
"62","E01006945","1-10750880847"
"63","E01006945","1-10755320885"
"64","E01006945","1-10757168826"
"65","E01006945","1-10757228535"
"66","E01006945","1-10757646514"
"67","E01006945","1-10757677224"
"68","E01006945","1-10758838098"
"69","E01006945","1-10758950119"
"70","E01006945","1-10758950145"
"71","E01006945","1-10758955924"
"72","E01006945","1-10758956076"
"73","E01006945","1-10758956126"
"74","E01006945","1-10758956172"
"75","E01006945","1-108795935"
"76","E01006945","1-110949612"
"77","E01006945","1-111186087"
"78","E01006945","1-111537320"
"79","E01006945","1-11224143405"
"80","E01006945","1-112507840"
"81","E01006945","1-112822510"
"82","E01007036","1-10551577036"
"83","E01007036","1-10750880847"
"84","E01007036","1-10755320885"
"85","E01007036","1-10757168826"
"86","E01007036","1-10757228535"
"87","E01007036","1-10757646514"
"88","E01007036","1-10757677224"
"89","E01007036","1-10758838098"
"90","E01007036","1-10758950119"
"91","E01007036","1-10758950145"
"92","E01007036","1-10758955924"
"93","E01007036","1-10758956076"
"94","E01007036","1-10758956126"
"95","E01007036","1-10758956172"
"96","E01007036","1-108795935"
"97","E01007036","1-109772401"
"98","E01007036","1-11016942581"
"99","E01007036","1-110949612"
"100","E01007036","1-111007459"
"101","E01007036","1-111186087"
"102","E01007036","1-111537320"
"103","E01007036","1-112507840"
"104","E01007036","1-112822510"
"105","E01007028","1-1004589685"
"106","E01007028","1-10551577036"
"107","E01007028","1-10750880847"
"108","E01007028","1-10755320885"
"109","E01007028","1-10757168826"
"110","E01007028","1-10757228535"
"111","E01007028","1-10757646514"
"112","E01007028","1-10757677224"
"113","E01007028","1-10758838098"
"114","E01007028","1-10758950119"
"115","E01007028","1-10758950145"
"116","E01007028","1-10758955924"
"117","E01007028","1-10758956076"
"118","E01007028","1-10758956126"
"119","E01007028","1-10758956172"
"120","E01007028","1-108795935"
"121","E01007028","1-109772401"
"122","E01007028","1-11016942581"
"123","E01007028","1-110949612"
"124","E01007028","1-111007459"
"125","E01007028","1-111186087"
"126","E01007028","1-111537320"
"127","E01007028","1-112507840"
"128","E01007028","1-112822510"
"129","E01007282","1-10000812939"
"130","E01007282","1-10325545051"
"131","E01007282","1-10646883009"
"132","E01007282","1-106890455"
"133","E01007282","1-10757646540"
"134","E01007282","1-10758359273"
"135","E01007282","1-10758838006"
"136","E01007282","1-10759231915"
"137","E01007282","1-10803102915"
"138","E01007282","1-109777459"
"139","E01007282","1-11019355215"
"140","E01007282","1-110278022"
"141","E01007282","1-110316571"
"142","E01007282","1-110421728"
"143","E01007282","1-111147708"
"144","E01007282","1-111374724"
"145","E01007282","1-112247212"
"146","E01007282","1-112282256"
"147","E01007282","1-113028260"
"148","E01007282","1-113844775"
"149","E01007001","1-1004589685"
"150","E01007001","1-10325545051"
"151","E01007001","1-10551577036"
"152","E01007001","1-10750880847"
"153","E01007001","1-10755320885"
"154","E01007001","1-10757168826"
"155","E01007001","1-10757228535"
"156","E01007001","1-10757646514"
"157","E01007001","1-10757677224"
"158","E01007001","1-10758838098"
"159","E01007001","1-10758950119"
"160","E01007001","1-10758950145"
"161","E01007001","1-10758955924"
"162","E01007001","1-10758956076"
"163","E01007001","1-10758956126"
