lsoa11cd,LSOA.name..2011.,Local.Authority.District.code..2019.,Local.Authority.District.name..2019.,IMD_rank,IMD_decile
E01006412,Knowsley 006A,E08000011,Knowsley,264,1
E01006413,Knowsley 006B,E08000011,Knowsley,97,1
E01006414,Knowsley 006C,E08000011,Knowsley,"1,297",1
E01006415,Knowsley 003A,E08000011,Knowsley,"3,757",2
E01006416,Knowsley 005A,E08000011,Knowsley,625,1
E01006417,Knowsley 003B,E08000011,Knowsley,103,1
E01006418,Knowsley 005B,E08000011,Knowsley,662,1
E01006419,Knowsley 019A,E08000011,Knowsley,"16,152",5
E01006420,Knowsley 017A,E08000011,Knowsley,"17,269",6
E01006421,Knowsley 018A,E08000011,Knowsley,"21,555",7
E01006422,Knowsley 019B,E08000011,Knowsley,"16,206",5
E01006423,Knowsley 019C,E08000011,Knowsley,"19,493",6
E01006424,Knowsley 017B,E08000011,Knowsley,"19,338",6
E01006425,Knowsley 018B,E08000011,Knowsley,"9,341",3
E01006426,Knowsley 020A,E08000011,Knowsley,639,1
E01006427,Knowsley 019D,E08000011,Knowsley,"14,187",5
E01006428,Knowsley 020B,E08000011,Knowsley,"4,117",2
E01006429,Knowsley 020C,E08000011,Knowsley,865,1
E01006430,Knowsley 018C,E08000011,Knowsley,"1,132",1
E01006431,Knowsley 020D,E08000011,Knowsley,"8,172",3
E01006432,Knowsley 020E,E08000011,Knowsley,"1,352",1
E01006433,Knowsley 018D,E08000011,Knowsley,"6,626",3
E01006434,Knowsley 005C,E08000011,Knowsley,694,1
E01006435,Knowsley 005D,E08000011,Knowsley,684,1
E01006436,Knowsley 003C,E08000011,Knowsley,162,1
E01006437,Knowsley 003D,E08000011,Knowsley,889,1
E01006438,Knowsley 005E,E08000011,Knowsley,"15,982",5
E01006439,Knowsley 005F,E08000011,Knowsley,"4,755",2
E01006440,Knowsley 010A,E08000011,Knowsley,396,1
E01006441,Knowsley 006D,E08000011,Knowsley,"4,683",2
E01006442,Knowsley 010B,E08000011,Knowsley,267,1
E01006443,Knowsley 010C,E08000011,Knowsley,141,1
E01006444,Knowsley 010D,E08000011,Knowsley,348,1
E01006445,Knowsley 010E,E08000011,Knowsley,371,1
E01006446,Knowsley 005G,E08000011,Knowsley,465,1
E01006447,Knowsley 003E,E08000011,Knowsley,481,1
E01006448,Knowsley 001A,E08000011,Knowsley,89,1
E01006449,Knowsley 012A,E08000011,Knowsley,"5,687",2
E01006450,Knowsley 012B,E08000011,Knowsley,880,1
E01006451,Knowsley 012C,E08000011,Knowsley,"3,377",2
E01006452,Knowsley 012D,E08000011,Knowsley,"5,573",2
E01006453,Knowsley 008A,E08000011,Knowsley,317,1
E01006454,Knowsley 002A,E08000011,Knowsley,"10,077",4
E01006455,Knowsley 004A,E08000011,Knowsley,238,1
E01006456,Knowsley 002B,E08000011,Knowsley,"6,358",2
E01006457,Knowsley 002C,E08000011,Knowsley,"9,956",4
E01006458,Knowsley 002D,E08000011,Knowsley,"1,566",1
E01006459,Knowsley 009A,E08000011,Knowsley,"8,653",3
E01006460,Knowsley 007A,E08000011,Knowsley,153,1
E01006461,Knowsley 007B,E08000011,Knowsley,955,1
E01006462,Knowsley 009B,E08000011,Knowsley,"13,539",5
E01006463,Knowsley 007C,E08000011,Knowsley,"1,958",1
E01006464,Knowsley 007D,E08000011,Knowsley,"5,444",2
E01006465,Knowsley 011A,E08000011,Knowsley,"16,357",5
E01006466,Knowsley 007E,E08000011,Knowsley,"9,734",3
E01006467,Knowsley 008B,E08000011,Knowsley,106,1
E01006470,Knowsley 008E,E08000011,Knowsley,277,1
E01006471,Knowsley 016A,E08000011,Knowsley,"20,025",7
E01006472,Knowsley 014A,E08000011,Knowsley,"16,107",5
E01006473,Knowsley 016B,E08000011,Knowsley,"15,079",5
E01006474,Knowsley 016C,E08000011,Knowsley,"12,673",4
E01006475,Knowsley 016D,E08000011,Knowsley,"13,557",5
E01006476,Knowsley 016E,E08000011,Knowsley,"23,844",8
E01006477,Knowsley 015A,E08000011,Knowsley,"3,349",2
E01006478,Knowsley 015B,E08000011,Knowsley,"1,648",1
E01006479,Knowsley 015C,E08000011,Knowsley,"5,054",2
E01006480,Knowsley 015D,E08000011,Knowsley,634,1
E01006481,Knowsley 015E,E08000011,Knowsley,"2,196",1
E01006482,Knowsley 011B,E08000011,Knowsley,"4,562",2
E01006483,Knowsley 011C,E08000011,Knowsley,"2,276",1
E01006484,Knowsley 011D,E08000011,Knowsley,"2,217",1
E01006485,Knowsley 014B,E08000011,Knowsley,"11,122",4
E01006486,Knowsley 014C,E08000011,Knowsley,"13,019",4
E01006487,Knowsley 014D,E08000011,Knowsley,"13,969",5
E01006488,Knowsley 014E,E08000011,Knowsley,"14,883",5
E01006489,Knowsley 014F,E08000011,Knowsley,"12,730",4
E01006490,Knowsley 002E,E08000011,Knowsley,"16,336",5
E01006491,Knowsley 002F,E08000011,Knowsley,"15,057",5
E01006492,Knowsley 001B,E08000011,Knowsley,"5,188",2
E01006493,Knowsley 001C,E08000011,Knowsley,82,1
E01006494,Knowsley 001D,E08000011,Knowsley,66,1
E01006495,Knowsley 001E,E08000011,Knowsley,"2,057",1
E01006496,Knowsley 009C,E08000011,Knowsley,"5,716",2
E01006497,Knowsley 013A,E08000011,Knowsley,"7,102",3
E01006498,Knowsley 009D,E08000011,Knowsley,"21,111",7
E01006499,Knowsley 009E,E08000011,Knowsley,"16,002",5
E01006500,Knowsley 013B,E08000011,Knowsley,"2,373",1
E01006501,Knowsley 013C,E08000011,Knowsley,"12,128",4
E01006502,Knowsley 017C,E08000011,Knowsley,"12,478",4
E01006503,Knowsley 017D,E08000011,Knowsley,"17,795",6
E01006504,Knowsley 013D,E08000011,Knowsley,"1,389",1
E01006505,Knowsley 013E,E08000011,Knowsley,"1,840",1
E01006506,Knowsley 004B,E08000011,Knowsley,"2,983",1
